Image,Name,Capacity,Location,Surface,Team,Opened,Distance to center field,Type,Roof type
https://en.wikipedia.org/wiki/File:MillerPark2.jpg,American Family Field,"41,900","Milwaukee, Wisconsin",Grass,Milwaukee Brewers,2001,400 feet (122 m),Retro-modern,Retractable
https://en.wikipedia.org/wiki/File:Angelstadiummarch2019.jpg,Angel Stadium,"45,517","Anaheim, California",Grass,Los Angeles Angels,1966,396 feet (121 m),"Modern
Retro-modern",Open
https://en.wikipedia.org/wiki/File:Busch_Stadium_III_(16180972535).jpg,Busch Stadium,"45,494","St. Louis, Missouri",Grass,St. Louis Cardinals,2006,400 feet (122 m),Retro-classic,Open
https://en.wikipedia.org/wiki/File:Chase_Field_-_2011-07-11_-_Interior_North_Upper.jpg,Chase Field,"48,405","Phoenix, Arizona",Artificial turf,Arizona Diamondbacks,1998,407 feet (124 m),Retro-modern,Retractable
"https://en.wikipedia.org/wiki/File:Citi_Field,_June_2_2012.jpg",Citi Field,"41,922","Queens, New York",Grass,New York Mets,2009,408 feet (124 m),Retro-classic,Open
https://en.wikipedia.org/wiki/File:Fieldatthepark.jpg,Citizens Bank Park,"42,792","Philadelphia, Pennsylvania",Grass,Philadelphia Phillies,2004,401 feet (122 m),Retro-classic,Open
https://en.wikipedia.org/wiki/File:Tigers_opening_day2_2007.jpg,Comerica Park,"41,083","Detroit, Michigan",Grass,Detroit Tigers,2000,420 feet (128 m),Retro-classic,Open
https://en.wikipedia.org/wiki/File:Coors_field_1.JPG,Coors Field,"50,144","Denver, Colorado",Grass,Colorado Rockies,1995,415 feet (126 m),Retro-classic,Open
https://en.wikipedia.org/wiki/File:Dodger_Stadium_field_from_upper_deck_2015-10-04.jpg,Dodger Stadium,"56,000","Los Angeles, California",Grass,Los Angeles Dodgers[nb 2],1962,395 feet (120 m),Modern,Open
https://en.wikipedia.org/wiki/File:Fenway_from_Legend%27s_Box.jpg,Fenway Park,"37,755","Boston, Massachusetts",Grass,Boston Red Sox[nb 3],1912,390 feet (119 m),Jewel box,Open
https://en.wikipedia.org/wiki/File:Globelifefield_june2020.jpg,Globe Life Field,"40,300","Arlington, Texas",Artificial turf,Texas Rangers,2020,407 feet (124 m),Retro-modern,Retractable
https://en.wikipedia.org/wiki/File:Great_American_Ball_Park_(20718178689).jpg,Great American Ball Park,"42,319","Cincinnati, Ohio",Grass,Cincinnati Reds,2003,404 feet (123 m),Retro-modern,Open
https://en.wikipedia.org/wiki/File:U.S._Cellular_Field_(30972191694).jpg,Guaranteed Rate Field,"40,615","Chicago, Illinois",Grass,Chicago White Sox,1991,400 feet (122 m),"Modern
Retro-classic",Open
https://en.wikipedia.org/wiki/File:NewKauffman.jpg,Kauffman Stadium,"37,903","Kansas City, Missouri",Grass,Kansas City Royals,1973,410 feet (125 m),"Modern
Retro-modern",Open
"https://en.wikipedia.org/wiki/File:Marlins_First_Pitch_at_Marlins_Park,_April_4,_2012_(cropped).jpg",LoanDepot Park,"36,742","Miami, Florida",Artificial turf,Miami Marlins,2012,407 feet (124 m),Contemporary[13],Retractable
https://en.wikipedia.org/wiki/File:Minute_Maid_Park_2010.JPG,Minute Maid Park,"41,168","Houston, Texas",Grass,Houston Astros,2000,409 feet (125 m)[15],Retro-modern,Retractable
https://en.wikipedia.org/wiki/File:Nationals_Park_8.16.19_-_7.jpg,Nationals Park,"41,339","Washington, D.C.",Grass,Washington Nationals,2008,402 feet (123 m),Retro-modern,Open
https://en.wikipedia.org/wiki/File:ATT_Sunset_Panorama.jpg,Oracle Park,"41,265","San Francisco, California",Grass,San Francisco Giants,2000,391 feet (119 m),Retro-classic,Open
https://en.wikipedia.org/wiki/File:CamdenYards_2005-05-08.jpg,Oriole Park at Camden Yards,"45,971","Baltimore, Maryland",Grass,Baltimore Orioles,1992,410 feet (125 m),Retro-classic,Open
https://en.wikipedia.org/wiki/File:Petco_Park_Padres_Game.jpg,Petco Park,"40,209","San Diego, California",Grass,San Diego Padres,2004,396 feet (121 m),Retro-modern,Open
https://en.wikipedia.org/wiki/File:Pittsburgh_Pirates_park_(Unsplash).jpg,PNC Park,"38,747","Pittsburgh, Pennsylvania",Grass,Pittsburgh Pirates,2001,399 feet (122 m),Retro-classic,Open
"https://en.wikipedia.org/wiki/File:Progressive_Field,_June_2019_(5).jpg",Progressive Field,"34,830","Cleveland, Ohio",Grass,Cleveland Guardians,1994,410 feet (125 m),Retro-modern,Open
https://en.wikipedia.org/wiki/File:McAfee_Coliseum_(15993646150).jpg,RingCentral Coliseum,"46,847","Oakland, California",Grass,Oakland Athletics,1966,400 feet (122 m),Multipurpose,Open
https://en.wikipedia.org/wiki/File:Rogers_Centre_2017_from_upper_deck.jpg,Rogers Centre,"49,286","Toronto, Ontario",Artificial turf,Toronto Blue Jays,1989,400 feet (122 m),Multipurpose,Retractable
https://en.wikipedia.org/wiki/File:SafecoFieldTop_(cropped).jpg,T-Mobile Park,"47,929","Seattle, Washington",Grass,Seattle Mariners,1999,401 feet (122 m),Retro-modern,Retractable
https://en.wikipedia.org/wiki/File:Target_Field_April_2010.jpg,Target Field,"38,544","Minneapolis, Minnesota",Grass,Minnesota Twins,2010,404 feet (123 m),Retro-modern,Open
https://en.wikipedia.org/wiki/File:Tropicana_Field_Playing_Field_Opening_Day_2010.JPG,Tropicana Field,"25,000","St. Petersburg, Florida",Artificial turf,Tampa Bay Rays,1990,404 feet (123 m),"Modern
Indoor",Fixed
https://en.wikipedia.org/wiki/File:SunTrust_Park_Opening_Day_2017.jpg,Truist Park,"41,084","Cumberland, Georgia",Grass,Atlanta Braves,2017,400 feet (122 m),Retro-modern,Open
https://en.wikipedia.org/wiki/File:Wrigley_Field_2018_-_42195054760.jpg,Wrigley Field,"41,649","Chicago, Illinois",Grass,Chicago Cubs,1914,400 feet (122 m),Jewel box,Open
https://en.wikipedia.org/wiki/File:Yankee_Stadium_upper_deck_2010.jpg,Yankee Stadium,"46,537","Bronx, New York",Grass,New York Yankees,2009,408 feet (124 m),Retro-classic,Open
